resource_id_list,site_id,spp_id,resource_id_status,status,sp_name_source
Smithsonian,BART,alc_alc,,,
Smithsonian,BASC,alc_alc,,,
Smithsonian,BONA,alc_alc,,,
Smithsonian,HEAL,alc_alc,,,
Smithsonian,POKE,alc_alc,,,
Smithsonian,TOOL,alc_alc,,,
Smithsonian,UNDE,alc_alc,,,
Smithsonian,CAPL,amm_har,,,
Smithsonian,SRER,amm_har,,,
Smithsonian,JORN,amm_int,,,
Smithsonian,MOAB,amm_leu,,,
Smithsonian,ONAQ,amm_leu,,,
Smithsonian,CPER,ant_ame,,,
Smithsonian,DCFS,ant_ame,,,
Smithsonian,FEXF,ant_ame,,,
Smithsonian,MOAB,ant_ame,,,
Smithsonian,MURR,ant_ame,,,
Smithsonian,NIWO,ant_ame,,,
Smithsonian,NOGP,ant_ame,,,
Smithsonian,RBUT,ant_ame,,,
Smithsonian,RMNP,ant_ame,,,
Smithsonian,SRER,ant_ame,,,
Smithsonian,STER,ant_ame,,,
Smithsonian,WOOD,ant_ame,,,
Smithsonian,YELL,ant_ame,,,
Smithsonian,ABBY,ant_pal,,,
Smithsonian,CAPL,ant_pal,,,
Smithsonian,JORN,ant_pal,,,
Smithsonian,MOAB,ant_pal,,,
Smithsonian,MURR,ant_pal,,,
Smithsonian,ONAQ,ant_pal,,,
Smithsonian,PSRS,ant_pal,,,
Smithsonian,RBUT,ant_pal,,,
Smithsonian,SOAP,ant_pal,,,
Smithsonian,SRER,ant_pal,,,
Smithsonian,TEAK,ant_pal,,,
Smithsonian,THAY,ant_pal,,,
Smithsonian,WREF,ant_pal,,,
Smithsonian,ABBY,apl_ruf,,,
Smithsonian,TEAK,apl_ruf,,,
Smithsonian,THAY,apl_ruf,,,
Smithsonian,WREF,apl_ruf,,,
Smithsonian,CAPL,bas_ast,,,
Smithsonian,CLBJ,bas_ast,,,
Smithsonian,FEXF,bas_ast,,,
Smithsonian,JORN,bas_ast,,,
Smithsonian,KONA,bas_ast,,,
Smithsonian,KONZ,bas_ast,,,
Smithsonian,MOAB,bas_ast,,,
Smithsonian,NIWO,bas_ast,,,
Smithsonian,OAES,bas_ast,,,
Smithsonian,PSRS,bas_ast,,,
Smithsonian,SOAP,bas_ast,,,
Smithsonian,SRER,bas_ast,,,
Smithsonian,TEAK,bas_ast,,,
Smithsonian,UOBS,bas_ast,,,
Smithsonian,CLBJ,bai_tay,,,
Smithsonian,SRER,bai_tay,,,
Smithsonian,BART,bla_bre,,,
Smithsonian,BLAN,bla_bre,,,
Smithsonian,DCFS,bla_bre,,,
